                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1974,                 3.7768,                 1.9987,                0.00559,                 0.7808,                0.17186,                0.08131,                 1.7726,                 3.4704,                 1.7117,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.7314,                 2.8341,                 1.5961,                0.00619,                0.86617,                0.16148,                0.06539,                 1.7549,                 3.3307,                  1.723,             0.00051037,             0.00051037,             0.00051037
                      2,                 1.7165,                  2.799,                 1.6237,                0.00535,                0.73619,                0.15035,                0.06986,                 1.9252,                  3.277,                 1.8529,              0.0007641,              0.0007641,              0.0007641
                      3,                 1.7737,                 2.7318,                 1.6451,                0.29081,                0.31069,                0.21829,                0.10388,                 1.6517,                 2.7616,                 1.6024,              0.0010112,              0.0010112,              0.0010112
                      4,                 1.6256,                  2.578,                 1.5302,                0.22324,                0.22815,                 0.1663,                0.06935,                 2.2235,                  3.047,                 2.0295,              0.0012517,              0.0012517,              0.0012517
                      5,                 1.6935,                 2.4442,                 1.5246,                0.32817,                0.35377,                0.20497,                 0.0829,                 2.0267,                 2.8589,                 1.8424,              0.0014857,              0.0014857,              0.0014857
                      6,                 1.6658,                 2.4098,                 1.5362,                0.30853,                0.32175,                0.28693,                0.13821,                 1.7321,                 2.5626,                 1.6306,              0.0015432,              0.0015432,              0.0015432
                      7,                 1.6115,                 2.2103,                 1.4929,                 0.2002,                0.30912,                 0.1301,                0.06278,                 2.2751,                 4.1168,                 2.1086,              0.0015432,              0.0015432,              0.0015432
                      8,                 1.5419,                 2.0379,                 1.4377,                0.16009,                0.47283,                0.18407,                0.07861,                 2.0982,                 10.174,                 2.2277,              0.0015226,              0.0015226,              0.0015226
                      9,                 1.5491,                  2.075,                 1.4295,                0.29795,                0.39142,                0.26678,                0.12759,                 1.9647,                   2.89,                  1.765,               0.001502,               0.001502,               0.001502
