                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0375,                  4.099,                 1.9371,                0.00588,                0.82099,                0.13322,                 0.0592,                 1.6372,                 3.4203,                 1.6409,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.6489,                 3.1435,                 1.5615,                0.00594,                0.81986,                0.20799,                0.11392,                 1.6166,                 3.3634,                 1.5963,             0.00046561,             0.00046561,             0.00046561
                      2,                 1.6813,                 3.0052,                 1.5687,                0.84428,                0.05201,                0.25248,                0.12449,                 1.8739,                 3.1696,                 1.7314,             0.00062836,             0.00062836,             0.00062836
                      3,                 1.6607,                 2.9177,                 1.5445,                0.41218,                0.10945,                0.27089,                0.14852,                 1.6298,                  2.865,                 1.4955,              0.0007383,              0.0007383,              0.0007383
                      4,                 1.5897,                  2.772,                 1.4951,                 0.4638,                0.36028,                0.32226,                0.15033,                 1.8042,                 2.8242,                 1.6935,             0.00079543,             0.00079543,             0.00079543
                      5,                 1.5536,                 2.6735,                 1.4633,                0.39632,                0.42278,                0.39682,                0.20841,                 1.6116,                 2.4485,                 1.3942,             0.00079974,             0.00079974,             0.00079974
                      6,                 1.4039,                 2.5004,                 1.3586,                0.38993,                0.44532,                0.42293,                0.22739,                 1.5894,                 2.3629,                 1.4136,              0.0006768,              0.0006768,              0.0006768
                      7,                 1.4125,                 2.3234,                   1.33,                0.47787,                0.42447,                0.45113,                0.25077,                 1.4548,                 2.2782,                 1.3175,              0.0006768,              0.0006768,              0.0006768
                      8,                  1.372,                 2.2157,                 1.2804,                0.64758,                0.45596,                0.55597,                0.36842,                 1.3294,                 1.8722,                 1.2286,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.2045,                 1.9923,                  1.189,                0.52997,                0.50249,                0.50509,                0.33866,                 1.2173,                 1.7945,                 1.1705,             0.00034674,             0.00034674,             0.00034674
